"Code","Year.Index","SHMI.before","SHMI.Index","HEE.region.code","HEE.region.name","Name","North","North.v.South","X","Responses","Survey.clinical.proportion","Engagement.Index","Engagement.Index.dichot","RecommendWork.Index","RecommendWork.Index.dichot","RecommendCare.Index","RecommendCare.Index.dichot","WorkStress.Index","FreedomSpeak.Index","Openness.Index"
"RA2",2019,0.7995,0.8047,"YDF29","Health Education Kent, Surrey and Sussex (South)","Royal Surrey County Hospital NHS Foundation Trust",0,"South",NA,1876,0.68,3.97,0.733333333333333,3.78,0.7,4.01,0.8,0.37,0,0
"RA3",2012,1.0604,1.0296,"YDF33","Health Education South West (South)","Weston Area Health NHS Trust",0,"South",NA,387,0.72,3.77666666666667,0.633333333333333,3.19,0.42,3.18,0.41,0.36,0,0
"RA3",2013,1.0296,1.004,"YDF33","Health Education South West (South)","Weston Area Health NHS Trust",0,"South",NA,366,0.72,3.90333333333333,0.69,3.42,0.49,3.42,0.52,0.36,0,0
"RA3",2014,1.004,1.0183,"YDF33","Health Education South West (South)","Weston Area Health NHS Trust",0,"South",NA,388,0.73,3.81,0.646666666666667,3.31,0.48,3.42,0.51,0.39,0,0
"RA3",2015,1.0183,1.1674,"YDF33","Health Education South West (South)","Weston Area Health NHS Trust",0,"South",NA,362,0.72,3.97666666666667,0.713333333333333,3.52,0.54,3.56,0.56,0.37,0,0
"RA3",2016,1.1674,1.1106,"YDF33","Health Education South West (South)","Weston Area Health NHS Trust",0,"South",NA,568,0.72,3.89,0.683333333333333,3.45,0.52,3.56,0.58,0.41,0,0
"RA3",2017,1.1106,1.0219,"YDF33","Health Education South West (South)","Weston Area Health NHS Trust",0,"South",NA,722,0.71,3.86,0.676666666666667,3.26,0.47,3.45,0.55,0.43,0,0
"RA3",2018,1.0219,0.9023,"YDF33","Health Education South West (South)","Weston Area Health NHS Trust",0,"South",NA,621,0.66,3.81333333333333,0.666666666666667,3.34,0.52,3.49,0.57,0.4,0,0
"RA3",2019,0.9023,1.0037,"YDF33","Health Education South West (South)","Weston Area Health NHS Trust",0,"South",NA,691,0.67,3.83666666666667,0.68,3.36,0.52,3.44,0.55,0.41,0,0
"RA4",2012,1.0563,0.9537,"YDF33","Health Education South West (South)","Yeovil District Hospital NHS Foundation Trust",0,"South",NA,368,0.71,3.87666666666667,0.68,3.7,0.64,3.76,0.69,0.4,0,0
"RA4",2013,0.9537,1.051,"YDF33","Health Education South West (South)","Yeovil District Hospital NHS Foundation Trust",0,"South",NA,403,0.7,3.88333333333333,0.68,3.54,0.58,3.71,0.68,0.37,0,0
"RA4",2014,1.051,1.0107,"YDF33","Health Education South West (South)","Yeovil District Hospital NHS Foundation Trust",0,"South",NA,1210,0.72,3.84,0.666666666666667,3.55,0.57,3.67,0.66,0.35,0,0
"RA4",2015,1.0107,1.0184,"YDF33","Health Education South West (South)","Yeovil District Hospital NHS Foundation Trust",0,"South",NA,1198,0.67,3.98666666666667,0.733333333333333,3.58,0.61,3.72,0.68,0.32,0,0
"RA4",2016,1.0184,0.9958,"YDF33","Health Education South West (South)","Yeovil District Hospital NHS Foundation Trust",0,"South",NA,1375,0.67,3.95333333333333,0.72,3.64,0.63,3.69,0.66,0.31,0,0
"RA4",2017,0.9958,0.9552,"YDF33","Health Education South West (South)","Yeovil District Hospital NHS Foundation Trust",0,"South",NA,1282,0.66,3.94333333333333,0.716666666666667,3.54,0.57,3.78,0.69,0.33,0,0
"RA4",2018,0.9552,1.0049,"YDF33","Health Education South West (South)","Yeovil District Hospital NHS Foundation Trust",0,"South",NA,1312,0.74,4.02,0.75,3.79,0.7,3.85,0.74,0.3,0,0
"RA4",2019,1.0049,0.8988,"YDF33","Health Education South West (South)","Yeovil District Hospital NHS Foundation Trust",0,"South",NA,1360,0.74,4.05,0.766666666666667,3.91,0.75,3.96,0.78,0.32,0,0
"RA7",2012,0.9686,0.9173,"YDF33","Health Education South West (South)","University Hospitals Bristol NHS Foundation Trust",0,"South",NA,446,0.74,3.93333333333333,0.693333333333333,3.55,0.6,3.77,0.72,0.34,0,0
"RA7",2013,0.9173,0.951,"YDF33","Health Education South West (South)","University Hospitals Bristol NHS Foundation Trust",0,"South",NA,436,0.75,3.91333333333333,0.686666666666667,3.66,0.6,3.83,0.74,0.4,0,0
"RA7",2014,0.951,0.9781,"YDF33","Health Education South West (South)","University Hospitals Bristol NHS Foundation Trust",0,"South",NA,3565,0.7,3.78333333333333,0.646666666666667,3.53,0.57,3.83,0.71,0.42,0,0
"RA7",2015,0.9781,0.9774,"YDF33","Health Education South West (South)","University Hospitals Bristol NHS Foundation Trust",0,"South",NA,3588,0.69,3.86333333333333,0.683333333333333,3.61,0.61,3.92,0.77,0.36,0,0
"RA7",2016,0.9774,0.9913,"YDF33","Health Education South West (South)","University Hospitals Bristol NHS Foundation Trust",0,"South",NA,3561,0.67,3.86333333333333,0.69,3.67,0.66,4.02,0.81,0.34,0,0
"RA7",2017,0.9913,1.0168,"YDF33","Health Education South West (South)","University Hospitals Bristol NHS Foundation Trust",0,"South",NA,3716,0.65,3.88,0.693333333333333,3.74,0.68,4.05,0.83,0.35,0,0
"RA7",2018,1.0168,1.0504,"YDF33","Health Education South West (South)","University Hospitals Bristol NHS Foundation Trust",0,"South",NA,4607,0.68,3.90666666666667,0.703333333333333,3.76,0.7,4.09,0.85,0.37,0,0
"RA7",2019,1.0504,1.0044,"YDF33","Health Education South West (South)","University Hospitals Bristol NHS Foundation Trust",0,"South",NA,5103,0.68,3.92666666666667,0.713333333333333,3.89,0.74,4.1,0.85,0.36,0,0
"RA9",2012,0.9603,0.9598,"YDF33","Health Education South West (South)","Torbay and South Devon NHS Foundation Trust",0,"South",NA,469,0.68,3.77333333333333,0.64,3.75,0.69,3.9,0.79,0.36,0,0
"RA9",2013,0.9598,0.927,"YDF33","Health Education South West (South)","Torbay and South Devon NHS Foundation Trust",0,"South",NA,486,0.68,3.88333333333333,0.67,3.94,0.77,4.03,0.82,0.32,0,0
"RA9",2014,0.927,0.9785,"YDF33","Health Education South West (South)","Torbay and South Devon NHS Foundation Trust",0,"South",NA,431,0.63,3.91,0.686666666666667,3.78,0.69,3.93,0.77,0.35,0,0
"RA9",2015,0.9785,0.8219,"YDF33","Health Education South West (South)","Torbay and South Devon NHS Foundation Trust",0,"South",NA,2678,0.63,3.92,0.706666666666667,3.31,0.48,3.39,0.51,0.42,0,0
"RA9",2016,0.8219,0.8312,"YDF33","Health Education South West (South)","Torbay and South Devon NHS Foundation Trust",0,"South",NA,2677,0.61,3.93333333333333,0.713333333333333,3.79,0.69,3.93,0.77,0.33,0,0
"RA9",2017,0.8312,0.9159,"YDF33","Health Education South West (South)","Torbay and South Devon NHS Foundation Trust",0,"South",NA,2047,0.62,3.89,0.693333333333333,3.6,0.62,3.87,0.74,0.36,0,0
"RA9",2018,0.9159,0.9036,"YDF33","Health Education South West (South)","Torbay and South Devon NHS Foundation Trust",0,"South",NA,2435,0.62,3.92333333333333,0.71,3.72,0.67,3.86,0.75,0.38,0,0
"RA9",2019,0.9036,0.9893,"YDF33","Health Education South West (South)","Torbay and South Devon NHS Foundation Trust",0,"South",NA,2925,0.6,3.88333333333333,0.693333333333333,3.62,0.64,3.84,0.73,0.38,0,0
"RAE",2012,0.9261,0.9781,"YDF26","Health Education Yorkshire and the Humber (North)","Bradford Teaching Hospitals NHS Foundation Trust",1,"North",NA,308,0.68,3.93333333333333,0.69,3.65,0.64,3.74,0.68,0.33,0,0
"RAE",2013,0.9781,1.014,"YDF26","Health Education Yorkshire and the Humber (North)","Bradford Teaching Hospitals NHS Foundation Trust",1,"North",NA,357,0.71,3.91333333333333,0.686666666666667,3.7,0.64,3.78,0.71,0.41,0,0
"RAE",2014,1.014,0.9684,"YDF26","Health Education Yorkshire and the Humber (North)","Bradford Teaching Hospitals NHS Foundation Trust",1,"North",NA,277,0.63,3.87,0.66,3.56,0.62,3.72,0.68,0.42,0,0
"RAE",2015,0.9684,0.9465,"YDF26","Health Education Yorkshire and the Humber (North)","Bradford Teaching Hospitals NHS Foundation Trust",1,"North",NA,385,0.67,3.95666666666667,0.713333333333333,3.47,0.53,3.66,0.66,0.36,0,0
"RAE",2016,0.9465,0.9748,"YDF26","Health Education Yorkshire and the Humber (North)","Bradford Teaching Hospitals NHS Foundation Trust",1,"North",NA,463,0.7,3.93,0.693333333333333,3.47,0.54,3.66,0.64,0.36,0,0
"RAE",2017,0.9748,0.9305,"YDF26","Health Education Yorkshire and the Humber (North)","Bradford Teaching Hospitals NHS Foundation Trust",1,"North",NA,2002,0.65,3.96,0.713333333333333,3.61,0.61,3.73,0.67,0.34,0,0
"RAE",2018,0.9305,0.9086,"YDF26","Health Education Yorkshire and the Humber (North)","Bradford Teaching Hospitals NHS Foundation Trust",1,"North",NA,2057,0.63,4,0.726666666666667,3.69,0.64,3.79,0.68,0.36,0,0
"RAE",2019,0.9086,0.9606,"YDF26","Health Education Yorkshire and the Humber (North)","Bradford Teaching Hospitals NHS Foundation Trust",1,"North",NA,2269,0.66,3.98666666666667,0.73,3.74,0.68,3.82,0.71,0.37,0,0
"RAJ",2012,1.0147,1.0049,"YDF46","Health Education East of England (South)","Southend University Hospital NHS Foundation Trust",0,"South",NA,494,0.68,3.82333333333333,0.656666666666667,3.58,0.59,3.67,0.68,0.32,0,0
"RAJ",2013,1.0049,1.048,"YDF46","Health Education East of England (South)","Southend University Hospital NHS Foundation Trust",0,"South",NA,2376,0.71,3.80666666666667,0.64,3.53,0.58,3.71,0.67,0.36,0,0
"RAJ",2014,1.048,1.0361,"YDF46","Health Education East of England (South)","Southend University Hospital NHS Foundation Trust",0,"South",NA,1719,0.7,3.71666666666667,0.606666666666667,3.34,0.51,3.57,0.6,0.36,0,0
"RAJ",2015,1.0361,1.1516,"YDF46","Health Education East of England (South)","Southend University Hospital NHS Foundation Trust",0,"South",NA,1828,0.71,3.84333333333333,0.66,3.37,0.51,3.63,0.62,0.39,0,0
"RAJ",2016,1.1516,1.1743,"YDF46","Health Education East of England (South)","Southend University Hospital NHS Foundation Trust",0,"South",NA,1689,0.68,3.88,0.676666666666667,3.37,0.52,3.68,0.64,0.36,0,0
"RAJ",2017,1.1743,1.1152,"YDF46","Health Education East of England (South)","Southend University Hospital NHS Foundation Trust",0,"South",NA,1735,0.69,3.87333333333333,0.67,3.38,0.53,3.56,0.61,0.39,0,0
"RAJ",2018,1.1152,1.1195,"YDF46","Health Education East of England (South)","Southend University Hospital NHS Foundation Trust",0,"South",NA,2118,0.73,3.91,0.686666666666667,3.51,0.58,3.74,0.68,0.41,0,0
"RAJ",2019,1.1195,1.0745,"YDF46","Health Education East of England (South)","Southend University Hospital NHS Foundation Trust",0,"South",NA,2569,0.72,3.90666666666667,0.69,3.58,0.6,3.73,0.67,0.38,0,0
"RAL",2012,0.7305,0.7844,"YDF28","Health Education North Central and East London (South)","Royal Free London NHS Foundation Trust",0,"South",NA,442,0.64,3.98333333333333,0.706666666666667,3.71,0.65,3.89,0.73,0.39,0,0
"RAL",2013,0.7844,0.81,"YDF28","Health Education North Central and East London (South)","Royal Free London NHS Foundation Trust",0,"South",NA,417,0.68,3.93,0.683333333333333,3.76,0.67,3.92,0.76,0.38,0,0
"RAL",2014,0.81,0.8608,"YDF28","Health Education North Central and East London (South)","Royal Free London NHS Foundation Trust",0,"South",NA,3476,0.68,3.86,0.67,3.59,0.61,3.82,0.71,0.4,0,0
"RAL",2015,0.8608,0.8852,"YDF28","Health Education North Central and East London (South)","Royal Free London NHS Foundation Trust",0,"South",NA,2997,0.69,3.96333333333333,0.706666666666667,3.58,0.61,3.83,0.72,0.4,0,0
"RAL",2016,0.8852,0.9012,"YDF28","Health Education North Central and East London (South)","Royal Free London NHS Foundation Trust",0,"South",NA,3450,0.69,3.96666666666667,0.706666666666667,3.6,0.62,3.83,0.74,0.41,0,0
"RAL",2017,0.9012,0.8646,"YDF28","Health Education North Central and East London (South)","Royal Free London NHS Foundation Trust",0,"South",NA,4094,0.7,3.94666666666667,0.703333333333333,3.62,0.62,3.85,0.74,0.41,0,0
"RAL",2018,0.8646,0.827,"YDF28","Health Education North Central and East London (South)","Royal Free London NHS Foundation Trust",0,"South",NA,3175,0.7,3.98,0.713333333333333,3.61,0.62,3.86,0.73,0.42,0,0
"RAL",2019,0.827,0.8146,"YDF28","Health Education North Central and East London (South)","Royal Free London NHS Foundation Trust",0,"South",NA,3760,0.71,3.94666666666667,0.706666666666667,3.6,0.62,3.78,0.71,0.43,0,0
"RAP",2012,0.8127,0.7989,"YDF28","Health Education North Central and East London (South)","North Middlesex University Hospital NHS Trust",0,"South",NA,382,0.75,3.85666666666667,0.643333333333333,3.4,0.53,3.34,0.51,0.39,0,0
"RAP",2013,0.7989,0.812,"YDF28","Health Education North Central and East London (South)","North Middlesex University Hospital NHS Trust",0,"South",NA,894,0.72,3.97333333333333,0.686666666666667,3.59,0.59,3.53,0.58,0.38,0,0
"RAP",2014,0.812,0.9546,"YDF28","Health Education North Central and East London (South)","North Middlesex University Hospital NHS Trust",0,"South",NA,195,0.73,3.96666666666667,0.703333333333333,3.49,0.54,3.58,0.59,0.4,0,0
"RAP",2015,0.9546,0.9494,"YDF28","Health Education North Central and East London (South)","North Middlesex University Hospital NHS Trust",0,"South",NA,203,0.72,4.06,0.73,3.44,0.51,3.38,0.49,0.4,0,0
"RAP",2016,0.9494,0.8893,"YDF28","Health Education North Central and East London (South)","North Middlesex University Hospital NHS Trust",0,"South",NA,941,0.74,4.05,0.726666666666667,3.42,0.54,3.36,0.51,0.39,0,0
"RAP",2017,0.8893,0.8558,"YDF28","Health Education North Central and East London (South)","North Middlesex University Hospital NHS Trust",0,"South",NA,1144,0.76,4.02,0.72,3.4,0.56,3.39,0.54,0.46,0,0
"RAP",2018,0.8558,0.881,"YDF28","Health Education North Central and East London (South)","North Middlesex University Hospital NHS Trust",0,"South",NA,1190,0.77,4.02,0.726666666666667,3.55,0.6,3.43,0.57,0.44,0,0
"RAP",2019,0.881,0.8742,"YDF28","Health Education North Central and East London (South)","North Middlesex University Hospital NHS Trust",0,"South",NA,1803,0.8,4.03333333333333,0.733333333333333,3.67,0.65,3.58,0.6,0.42,0,0
"RAS",2012,0.9139,0.9063,"YDF26","Health Education North West London (South)","Hillingdon Hospitals NHS Foundation Trust",0,"South",NA,324,0.76,3.89666666666667,0.673333333333333,3.63,0.59,3.59,0.59,0.37,0,0
"RAS",2013,0.9063,0.859,"YDF26","Health Education North West London (South)","Hillingdon Hospitals NHS Foundation Trust",0,"South",NA,1154,0.69,3.95,0.693333333333333,3.61,0.62,3.66,0.62,0.36,0,0
"RAS",2014,0.859,0.9197,"YDF26","Health Education North West London (South)","Hillingdon Hospitals NHS Foundation Trust",0,"South",NA,785,0.68,4.02666666666667,0.713333333333333,3.68,0.65,3.7,0.65,0.31,0,0
"RAS",2015,0.9197,0.8805,"YDF26","Health Education North West London (South)","Hillingdon Hospitals NHS Foundation Trust",0,"South",NA,921,0.69,4.05666666666667,0.753333333333333,3.69,0.65,3.74,0.67,0.3,0,0
"RAS",2016,0.8805,0.9313,"YDF26","Health Education North West London (South)","Hillingdon Hospitals NHS Foundation Trust",0,"South",NA,1413,0.7,4.07333333333333,0.743333333333334,3.66,0.63,3.72,0.65,0.3,0,0
"RAS",2017,0.9313,0.9448,"YDF26","Health Education North West London (South)","Hillingdon Hospitals NHS Foundation Trust",0,"South",NA,1488,0.69,4.03333333333333,0.736666666666667,3.63,0.61,3.66,0.65,0.35,0,0
"RAS",2018,0.9448,0.9588,"YDF26","Health Education North West London (South)","Hillingdon Hospitals NHS Foundation Trust",0,"South",NA,1487,0.73,4.00333333333333,0.726666666666667,3.47,0.55,3.5,0.57,0.39,0,0
"RAS",2019,0.9588,0.9785,"YDF26","Health Education North West London (South)","Hillingdon Hospitals NHS Foundation Trust",0,"South",NA,1638,0.72,4.03666666666667,0.74,3.47,0.55,3.5,0.57,0.37,0,0
"RAX",2012,0.8437,0.8978,"YDF27","Health Education South London (South)","Kingston Hospital NHS Foundation Trust",0,"South",NA,378,0.72,3.84,0.656666666666667,3.58,0.57,3.76,0.66,0.39,0,0
"RAX",2013,0.8978,0.932,"YDF27","Health Education South London (South)","Kingston Hospital NHS Foundation Trust",0,"South",NA,383,0.68,3.79,0.646666666666667,3.57,0.58,3.64,0.62,0.34,0,0
"RAX",2014,0.932,0.8783,"YDF27","Health Education South London (South)","Kingston Hospital NHS Foundation Trust",0,"South",NA,343,0.74,3.78,0.626666666666667,3.43,0.53,3.63,0.61,0.4,0,0
"RAX",2015,0.8783,0.9263,"YDF27","Health Education South London (South)","Kingston Hospital NHS Foundation Trust",0,"South",NA,1095,0.69,3.94,0.713333333333333,3.52,0.59,3.71,0.67,0.37,0,0
"RAX",2016,0.9263,0.8584,"YDF27","Health Education South London (South)","Kingston Hospital NHS Foundation Trust",0,"South",NA,1305,0.69,3.95666666666667,0.713333333333333,3.76,0.69,3.89,0.75,0.38,0,0
"RAX",2017,0.8584,0.8574,"YDF27","Health Education South London (South)","Kingston Hospital NHS Foundation Trust",0,"South",NA,1413,0.7,3.97333333333333,0.726666666666667,3.84,0.71,3.95,0.77,0.38,0,0
"RAX",2018,0.8574,0.8193,"YDF27","Health Education South London (South)","Kingston Hospital NHS Foundation Trust",0,"South",NA,1689,0.74,3.93,0.713333333333333,3.93,0.75,4.05,0.82,0.4,0,0
"RAX",2019,0.8193,0.768,"YDF27","Health Education South London (South)","Kingston Hospital NHS Foundation Trust",0,"South",NA,2069,0.75,3.93333333333333,0.72,3.87,0.74,4.08,0.83,0.42,0,0
"RBA",2012,0.9378,0.9919,"YDF33","Health Education South West (South)","Taunton and Somerset NHS Foundation Trust",0,"South",NA,432,0.72,3.84,0.653333333333333,3.64,0.61,3.87,0.72,0.35,0,0
"RBA",2013,0.9919,0.959,"YDF33","Health Education South West (South)","Taunton and Somerset NHS Foundation Trust",0,"South",NA,434,0.74,3.86666666666667,0.66,3.85,0.7,3.95,0.78,0.34,0,0
"RBA",2014,0.959,0.9674,"YDF33","Health Education South West (South)","Taunton and Somerset NHS Foundation Trust",0,"South",NA,237,0.65,3.83333333333333,0.656666666666667,3.65,0.63,3.93,0.78,0.42,0,0
"RBA",2015,0.9674,1,"YDF33","Health Education South West (South)","Taunton and Somerset NHS Foundation Trust",0,"South",NA,368,0.7,4.02333333333333,0.75,3.92,0.74,4.06,0.82,0.32,0,0
"RBA",2016,1,0.9844,"YDF33","Health Education South West (South)","Taunton and Somerset NHS Foundation Trust",0,"South",NA,2069,0.72,3.95,0.716666666666667,3.78,0.71,4.12,0.85,0.33,0,0
"RBA",2017,0.9844,0.8907,"YDF33","Health Education South West (South)","Taunton and Somerset NHS Foundation Trust",0,"South",NA,1696,0.68,3.97,0.726666666666667,3.83,0.72,4.05,0.83,0.33,0,0
"RBA",2018,0.8907,0.9266,"YDF33","Health Education South West (South)","Taunton and Somerset NHS Foundation Trust",0,"South",NA,1626,0.67,3.91666666666667,0.71,3.82,0.72,4.1,0.84,0.39,0,0
"RBA",2019,0.9266,0.9496,"YDF33","Health Education South West (South)","Taunton and Somerset NHS Foundation Trust",0,"South",NA,2207,0.69,3.96333333333333,0.733333333333333,3.92,0.76,4.13,0.85,0.38,0,0
"RBD",2012,1.0628,1.0479,"YDF24","Health Education Wessex (South)","Dorset County Hospital NHS Foundation Trust",0,"South",NA,418,0.71,3.69666666666667,0.596666666666667,3.13,0.41,3.43,0.55,0.39,0,0
"RBD",2013,1.0479,1.122,"YDF24","Health Education Wessex (South)","Dorset County Hospital NHS Foundation Trust",0,"South",NA,1441,0.7,3.82666666666667,0.65,3.51,0.56,3.7,0.66,0.37,0,0
"RBD",2014,1.122,1.079,"YDF24","Health Education Wessex (South)","Dorset County Hospital NHS Foundation Trust",0,"South",NA,1342,0.7,3.85,0.66,3.6,0.61,3.83,0.71,0.34,0,0
"RBD",2015,1.079,1.1493,"YDF24","Health Education Wessex (South)","Dorset County Hospital NHS Foundation Trust",0,"South",NA,1430,0.7,3.91,0.696666666666667,3.67,0.63,3.88,0.74,0.33,0,0
"RBD",2016,1.1493,1.1551,"YDF24","Health Education Wessex (South)","Dorset County Hospital NHS Foundation Trust",0,"South",NA,1366,0.68,3.85,0.68,3.63,0.64,3.88,0.75,0.35,0,0
"RBD",2017,1.1551,1.1382,"YDF24","Health Education Wessex (South)","Dorset County Hospital NHS Foundation Trust",0,"South",NA,1312,0.67,3.93333333333333,0.71,3.75,0.67,3.94,0.76,0.33,0,0
"RBD",2018,1.1382,1.2059,"YDF24","Health Education Wessex (South)","Dorset County Hospital NHS Foundation Trust",0,"South",NA,1304,0.67,3.9,0.7,3.79,0.69,3.99,0.8,0.37,0,0
"RBD",2019,1.2059,1.158,"YDF24","Health Education Wessex (South)","Dorset County Hospital NHS Foundation Trust",0,"South",NA,1227,0.63,3.89666666666667,0.706666666666667,3.82,0.7,3.97,0.78,0.37,0,0
"RBK",2012,1.126,1.0714,"YDF32","Health Education West Midlands (North)","Walsall Healthcare NHS Trust",1,"North",NA,443,0.66,3.77666666666667,0.616666666666667,3.28,0.46,3.27,0.45,0.41,0,0
"RBK",2013,1.0714,0.971,"YDF32","Health Education West Midlands (North)","Walsall Healthcare NHS Trust",1,"North",NA,427,0.72,3.80666666666667,0.623333333333333,3.53,0.58,3.49,0.55,0.36,0,0
"RBK",2014,0.971,1.1032,"YDF32","Health Education West Midlands (North)","Walsall Healthcare NHS Trust",1,"North",NA,351,0.68,3.76,0.606666666666667,3.29,0.47,3.38,0.47,0.42,0,0
"RBK",2015,1.1032,1.046,"YDF32","Health Education West Midlands (North)","Walsall Healthcare NHS Trust",1,"North",NA,1401,0.69,3.83,0.646666666666667,3.63,0.61,3.71,0.66,0.38,0,0
"RBK",2016,1.046,1.0339,"YDF32","Health Education West Midlands (North)","Walsall Healthcare NHS Trust",1,"North",NA,1695,0.68,3.81333333333333,0.646666666666667,3.29,0.47,3.35,0.48,0.39,0,0
"RBK",2017,1.0339,1.0966,"YDF32","Health Education West Midlands (North)","Walsall Healthcare NHS Trust",1,"North",NA,1507,0.66,3.81333333333333,0.65,3.2,0.46,3.3,0.48,0.42,0,0
"RBK",2018,1.0966,1.1234,"YDF32","Health Education West Midlands (North)","Walsall Healthcare NHS Trust",1,"North",NA,1661,0.67,3.87333333333333,0.683333333333333,3.34,0.51,3.34,0.49,0.42,0,0
"RBK",2019,1.1234,1.105,"YDF32","Health Education West Midlands (North)","Walsall Healthcare NHS Trust",1,"North",NA,1268,0.69,3.84333333333333,0.67,3.27,0.47,3.31,0.49,0.45,0,0
